symbol,entry,exit,pnl,days
VTZ,2025-03-31,2025-04-08,-6.8181818181818175,8
VTZ,2025-04-11,2025-05-19,-6.077348066298343,38
VTZ,2025-06-04,2025-06-23,-3.977272727272727,19
VTZ,2025-07-23,2025-09-29,6.8181818181818175,68
VTZ,2025-10-28,2025-11-03,-2.6595744680851063,6
VGI,2023-04-03,2023-08-09,18.6046511627907,128
VGI,2023-08-17,2023-08-18,-7.722007722007722,1
VGI,2023-09-08,2023-09-11,-1.6,3
VGI,2023-10-11,2023-11-01,-6.538461538461539,21
VGI,2023-11-16,2023-11-29,-4.37956204379562,13
VGI,2023-12-06,2023-12-13,-6.593406593406594,7
VGI,2024-01-03,2024-07-18,251.28205128205127,197
VGI,2024-10-11,2024-10-24,-3.4074074074074074,13
VGI,2024-10-25,2025-01-09,33.433734939759034,76
VGI,2025-01-23,2025-02-10,-6.469298245614036,18
VGI,2025-06-06,2025-08-01,2.824858757062147,56
VGI,2025-08-06,2025-08-22,-5.951822916666667,16
VGI,2025-10-27,2025-11-26,4.641350210970464,30
VHM,2023-03-21,2023-04-27,4.6255506607929515,37
VHM,2023-05-12,2023-07-10,5.078125,59
VHM,2023-07-13,2023-08-21,-0.5328596802841918,39
VHM,2023-12-26,2024-01-31,-0.9546539379474941,36
VHM,2024-02-19,2024-03-11,-6.586169045005488,21
VHM,2024-04-03,2024-04-17,-3.0162412993039442,14
VHM,2024-08-16,2024-10-07,7.291666666666667,52
VHM,2024-10-11,2024-10-30,-5.6192660550458715,19
VHM,2025-02-21,2025-09-25,146.8982630272953,216
VHM,2025-09-30,2025-10-02,-4.271844660194175,2
VHM,2025-10-06,2025-10-29,1.071080817916261,23
TRC,2023-04-06,2023-09-05,14.133438610343466,152
TRC,2023-09-06,2023-09-08,-2.8475711892797317,2
TRC,2023-09-15,2023-10-19,-4.482984293193717,34
TRC,2023-12-01,2023-12-07,-1.5921409214092141,6
TRC,2023-12-08,2023-12-18,-1.4184397163120568,10
TRC,2023-12-20,2023-12-22,-1.6129032258064515,2
TRC,2025-03-25,2025-04-02,-7.404244937789704,8
TRC,2025-05-27,2025-05-30,-3.6520684952265494,3
TRC,2025-06-18,2025-07-03,-1.0567210567210457,15
TRC,2025-08-11,2025-09-24,1.7569546120058566,44
NAF,2023-04-05,2023-09-25,50.933609958506224,173
NAF,2023-12-04,2024-01-16,-3.5137034434293746,43
NAF,2024-03-15,2024-07-12,13.666666666666666,119
